File_ID;File_Record_ID;L01_Afltn_Number;L01_Afltn_Name;Ship_To_Location_Num;Customer_Number;Customer_Name;Address_Txt;City;State;Zip;Dea_Num;Cogs_Mult_Num;Contract_Group_Number;Contract_Group_Name;Invoice_Date;Invoice_Number;NDC;Corporate_Item_Number;Corporate_Description;Supplier_Number;Supplier_Name;Ship_Qty; Ext_Sell_Dlr;GPO_Revenue;GPO_Member;Master_Record_Id;Source;SPx
100119;1;791;FERTILITY PHCY ALLIANCE-PARENT;6;640176;VILLAGE FERTILITY PHARMACY LLC;335 BEAR HILL ROAD;WALTHAM;MA;24510000;FV6328048;-0,05;0;N/A;10/2/18;3616450;44087111701;4937165;GONAL-F RFF 900U/1,5ML RDIJCT;102;EMD SERONO INC;30;58810,8;147,027;VFP;10011916401764337536164504408711170158810,8;Other;No
100119;2;791;FERTILITY PHCY ALLIANCE-PARENT;6;640176;VILLAGE FERTILITY PHARMACY LLC;335 BEAR HILL ROAD;WALTHAM;MA;24510000;FV6328048;-0,05;0;N/A;10/2/18;3616450;44087115001;3532868;OVIDREL 250MCG 0,5ML;102;EMD SERONO INC;16;2356,32;58,908;VFP;1001192640176433753616450440871150012356,32;Other;No
100119;3;791;FERTILITY PHCY ALLIANCE-PARENT;6;640176;VILLAGE FERTILITY PHARMACY LLC;335 BEAR HILL ROAD;WALTHAM;MA;24510000;FV6328048;-0,05;0;N/A;10/2/18;3616450;44087122501;3004215;CETROTIDE 0,25MG W/DIL SY;102;EMD SERONO INC;37;7410,73;18,526,825;VFP;1001193640176433753616450440871225017410,73;Other;No
100119;4;791;FERTILITY PHCY ALLIANCE-PARENT;6;640176;VILLAGE FERTILITY PHARMACY LLC;335 BEAR HILL ROAD;WALTHAM;MA;24510000;FV6328048;-0,05;0;N/A;10/2/18;3616450;44087903001;3577483;GONAL-F 450U W/DIL SY;102;EMD SERONO INC;4;3920,72;98,018;VFP;1001194640176433753616450440879030013920,72;Other;No
100119;5;791;FERTILITY PHCY ALLIANCE-PARENT;6;640176;VILLAGE FERTILITY PHARMACY LLC;335 BEAR HILL ROAD;WALTHAM;MA;24510000;FV6328048;-0,05;0;N/A;10/2/18;3616450;44087907001;3973831;GONAL-F 1050U W/DIL SY;102;EMD SERONO INC;10;22870,9;5,717,725;VFP;10011956401764337536164504408790700122870,9;Other;No
100119;6;791;FERTILITY PHCY ALLIANCE-PARENT;6;640176;VILLAGE FERTILITY PHARMACY LLC;335 BEAR HILL ROAD;WALTHAM;MA;24510000;FV6328048;-0,05;0;N/A;10/2/18;3616450;52544025612;4947347;CRINONE 8% 15X1,125GM PFA VAG;5281;ALLERGAN INC;36;14542,92;363,573;VFP;10011966401764337536164505254402561214542,92;Other;No
100119;7;791;FERTILITY PHCY ALLIANCE-PARENT;6;640176;VILLAGE FERTILITY PHARMACY LLC;335 BEAR HILL ROAD;WALTHAM;MA;24510000;FV6328048;0,00;30893;MAIL ORDER SOURCE;10/2/18;3616785;9041701;1241611;DEPO-TEST 200MG/ML 1ML C3;9676;PFIZER INJECTABLE;5;60,6;0,1515;VFP;1001197640176433753616785904170160,6;Source;No
100119;8;791;FERTILITY PHCY ALLIANCE-PARENT;6;640176;VILLAGE FERTILITY PHARMACY LLC;335 BEAR HILL ROAD;WALTHAM;MA;24510000;FV6328048;0,00;30893;MAIL ORDER SOURCE;10/2/18;3616785;9041702;1081470;DEPO-TEST 200MG/ML 10ML  C3;9676;PFIZER INJECTABLE;2;149,24;0,3731;VFP;10011986401764337536167859041702149,24;Source;No
100119;9;791;FERTILITY PHCY ALLIANCE-PARENT;15;726576;HEALY PHARMACY LLC;4580 WEAVER PARKWAY STE 103;WARRENVILLE;IL;605550000;FH5829936;-0,05;0;N/A;10/2/18;3873971;44087122501;3004215;CETROTIDE 0,25MG W/DIL SY;102;EMD SERONO INC;45;9013,05;22,532,625;VFP;1001199726576433753873971440871225019013,05;Other;No
100119;10;791;FERTILITY PHCY ALLIANCE-PARENT;15;726576;HEALY PHARMACY LLC;4580 WEAVER PARKWAY STE 103;WARRENVILLE;IL;605550000;FH5829936;-0,05;0;N/A;10/2/18;3878213;52544007660;4536900;ANDRODERM 2MG/24HR 60  C3;5281;ALLERGAN INC;1;531,82;132,955;VFP;1001191072657643375387821352544007660531,82;Other;No
